stage,T_C,P_bar,x_C3H8,x_C3H6,x_H2,x_C2H4,x_CH4,x_C2H6,x_C4H10,y_C3H8,y_C3H6,y_H2,y_C2H4,y_CH4,y_C2H6,y_C4H10
46,40.7961,16.74923,0.01306467,0.98693533,,,,,,0.01209369,0.98790631,,,,,
47,40.7964,16.74923,0.01313518,0.98686482,,,,,,0.01215829,0.98784171,,,,,
48,40.7968,16.74923,0.01320326,0.98679674,,,,,,0.01222067,0.98777933,,,,,
49,40.7971,16.74923,0.013269,0.986731,,,,,,0.01228091,0.98771909,,,,,
50,40.7974,16.74923,0.01333248,0.98666752,,,,,,0.01233907,0.98766093,,,,,
51,40.7977,16.74923,0.01339378,0.98660622,,,,,,0.01239524,0.98760476,,,,,
52,40.798,16.74923,0.01345297,0.98654703,,,,,,0.01244948,0.98755052,,,,,
53,40.7983,16.74923,0.01351013,0.98648987,,,,,,0.01250185,0.98749815,,,,,
54,40.7985,16.74923,0.01356533,0.98643467,,,,,,0.01255243,0.98744757,,,,,
55,40.7988,16.74923,0.01361863,0.98638137,,,,,,0.01260126,0.98739874,,,,,
56,40.7991,16.74923,0.01367009,0.98632991,,,,,,0.01264842,0.98735158,,,,,
57,40.7993,16.74923,0.0137198,0.9862802,,,,,,0.01269396,0.98730604,,,,,
58,40.7995,16.74923,0.01376779,0.98623221,,,,,,0.01273793,0.98726207,,,,,
59,40.7998,16.74923,0.01381413,0.98618587,,,,,,0.0127804,0.9872196,,,,,
60,40.8,16.74923,0.01385889,0.98614111,,,,,,0.0128214,0.9871786,,,,,
61,40.8002,16.74923,0.0139021,0.9860979,,,,,,0.012861,0.987139,,,,,
62,40.8004,16.74923,0.01394384,0.98605616,,,,,,0.01289924,0.98710076,,,,,
63,40.8006,16.74923,0.01398414,0.98601586,,,,,,0.01293616,0.98706384,,,,,
64,40.8008,16.74923,0.01402305,0.98597695,,,,,,0.01297182,0.98702818,,,,,
65,40.801,16.74923,0.01406063,0.98593937,,,,,,0.01300625,0.98699375,,,,,
66,40.8011,16.74923,0.01409692,0.98590308,,,,,,0.0130395,0.9869605,,,,,
67,40.8013,16.74923,0.01413196,0.98586804,,,,,,0.01307161,0.98692839,,,,,
68,40.8015,16.74923,0.0141658,0.9858342,,,,,,0.01310261,0.98689739,,,,,
69,40.8016,16.74923,0.01419848,0.98580152,,,,,,0.01313255,0.98686745,,,,,
70,40.8018,16.74923,0.01423003,0.98576997,,,,,,0.01316147,0.98683853,,,,,
71,40.8019,16.74923,0.01426051,0.98573949,,,,,,0.01318939,0.98681061,,,,,
72,40.8021,16.74923,0.01428993,0.98571007,,,,,,0.01321635,0.98678365,,,,,
73,40.8022,16.74923,0.01431835,0.98568165,,,,,,0.01324239,0.98675761,,,,,
74,40.8024,16.74923,0.01434579,0.98565421,,,,,,0.01326753,0.98673247,,,,,
75,40.8025,16.74923,0.01437229,0.98562771,,,,,,0.01329181,0.98670819,,,,,
76,40.8026,16.74923,0.01439788,0.98560212,,,,,,0.01331526,0.98668474,,,,,
77,40.8027,16.74923,0.01442259,0.98557741,,,,,,0.0133379,0.9866621,,,,,
78,40.8029,16.74923,0.01444646,0.98555354,,,,,,0.01335976,0.98664024,,,,,
79,40.803,16.74923,0.0144695,0.9855305,,,,,,0.01338088,0.98661912,,,,,
80,40.8031,16.74923,0.01449175,0.98550825,,,,,,0.01340127,0.98659873,,,,,
81,40.8032,16.74923,0.01451324,0.98548676,,,,,,0.01342096,0.98657904,,,,,
82,40.8033,16.74923,0.014534,0.985466,,,,,,0.01343997,0.98656003,,,,,
83,40.8034,16.74923,0.01455404,0.98544596,,,,,,0.01345833,0.98654167,,,,,
84,40.8035,16.74923,0.01457339,0.98542661,,,,,,0.01347606,0.98652394,,,,,
85,40.8036,16.74923,0.01459208,0.98540792,,,,,,0.01349318,0.98650682,,,,,
86,40.8037,16.74923,0.01461012,0.98538988,,,,,,0.01350972,0.98649028,,,,,
87,40.8037,16.74923,0.01462755,0.98537245,,,,,,0.01352569,0.98647431,,,,,
88,40.8038,16.74923,0.01464438,0.98535562,,,,,,0.01354111,0.98645889,,,,,
89,40.8039,16.74923,0.01466063,0.98533937,,,,,,0.013556,0.986444,,,,,
90,40.804,16.74923,0.01467633,0.98532367,,,,,,0.01357038,0.98642962,,,,,
91,40.8041,16.74923,0.01469148,0.98530852,,,,,,0.01358426,0.98641574,,,,,
92,40.8041,16.74923,0.01470612,0.98529388,,,,,,0.01359767,0.98640233,,,,,
93,40.8042,16.74923,0.01472025,0.98527975,,,,,,0.01361062,0.98638938,,,,,
94,40.8045,16.74923,0.0147339,0.9852661,,,,,,0.01362313,0.98637687,,,,,
95,40.8069,16.74923,0.01474712,0.98525288,,,,,,0.01363519,0.98636481,,,,,
96,40.8356,16.74923,0.0147373,0.9852627,,,,,,0.0136467,0.9863533,,,,,
97,40.809,16.74923,0.014836,0.985164,,,,,,0.01374103,0.98625897,,,,,
98,40.8058,16.74923,0.01494732,0.98505268,,,,,,0.01384739,0.98615261,,,,,
99,40.8059,16.74923,0.01507317,0.98492683,,,,,,0.01396762,0.98603238,,,,,
100,40.8065,16.74923,0.01521549,0.98478451,,,,,,0.01410358,0.98589642,,,,,
101,40.8073,16.74923,0.01537642,0.98462358,,,,,,0.01425732,0.98574268,,,,,
102,40.8082,16.74923,0.01555842,0.98444158,,,,,,0.01443119,0.98556881,,,,,
103,40.8092,16.74923,0.01576423,0.98423577,,,,,,0.0146278,0.9853722,,,,,
104,40.8103,16.74923,0.01599698,0.98400302,,,,,,0.01485015,0.98514985,,,,,
105,40.8116,16.74923,0.01626018,0.98373982,,,,,,0.01510159,0.98489841,,,,,
106,40.8131,16.74923,0.01655784,0.98344216,,,,,,0.01538593,0.98461407,,,,,
107,40.8147,16.74923,0.01689445,0.98310555,,,,,,0.01570749,0.98429251,,,,,
108,40.8166,16.74923,0.01727512,0.98272488,,,,,,0.01607113,0.98392887,,,,,
109,40.8186,16.74923,0.01770563,0.98229437,,,,,,0.01648238,0.98351762,,,,,
110,40.8209,16.74923,0.01819249,0.98180751,,,,,,0.01694745,0.98305255,,,,,
111,40.8235,16.74923,0.01874311,0.98125689,,,,,,0.01747342,0.98252658,,,,,
112,40.8265,16.74923,0.01936584,0.98063416,,,,,,0.01806826,0.98193174,,,,,
113,40.83,16.74923,0.02007015,0.97992985,,,,,,0.01874101,0.98125899,,,,,
114,40.8341,16.74923,0.02086673,0.97913327,,,,,,0.01950187,0.98049813,,,,,
115,40.8385,16.74923,0.02176769,0.97823231,,,,,,0.02036241,0.97963759,,,,,
116,40.8436,16.74923,0.02278671,0.97721329,,,,,,0.02133569,0.97866431,,,,,
117,40.8491,16.74923,0.02393931,0.97606069,,,,,,0.02243653,0.97756347,,,,,
118,40.8556,16.74923,0.02524304,0.97475696,,,,,,0.02368166,0.97631834,,,,,
119,40.8654,16.74923,0.02714912,0.97285088,,,,,,0.02509004,0.97490996,,,,,
