stage,T_C,P_bar,x_C3H8,x_C3H6,x_H2,x_C2H4,x_CH4,x_C2H6,x_C4H10,y_C3H8,y_C3H6,y_H2,y_C2H4,y_CH4,y_C2H6,y_C4H10
1,40.758,16.74923,0.00519942,0.99480058,,,,,,0.00480749,0.99519251,,,,,
2,40.7595,16.74923,0.00554151,0.99445849,,,,,,0.00519942,0.99480058,,,,,
3,40.7611,16.74923,0.00587173,0.99412827,,,,,,0.00550208,0.99449792,,,,,
4,40.7627,16.74923,0.00619051,0.99380949,,,,,,0.00579424,0.99420576,,,,,
5,40.7641,16.74923,0.00649823,0.99350177,,,,,,0.00607628,0.99392372,,,,,
6,40.7656,16.74923,0.0067953,0.9932047,,,,,,0.00634854,0.99365146,,,,,
7,40.767,16.74923,0.00708208,0.99291792,,,,,,0.00661136,0.99338864,,,,,
8,40.7683,16.74923,0.00735893,0.99264107,,,,,,0.00686509,0.99313491,,,,,
9,40.7696,16.74923,0.0076262,0.9923738,,,,,,0.00711003,0.99288997,,,,,
10,40.7709,16.74923,0.00788422,0.99211578,,,,,,0.0073465,0.9926535,,,,,
11,40.7721,16.74923,0.00813332,0.99186668,,,,,,0.00757479,0.99242521,,,,,
12,40.7732,16.74923,0.00837381,0.99162619,,,,,,0.00779518,0.99220482,,,,,
13,40.7744,16.74923,0.00860598,0.99139402,,,,,,0.00800795,0.99199205,,,,,
14,40.7755,16.74923,0.00883013,0.99116987,,,,,,0.00821337,0.99178663,,,,,
15,40.7765,16.74923,0.00904654,0.99095346,,,,,,0.00841168,0.99158832,,,,,
16,40.7775,16.74923,0.00925547,0.99074453,,,,,,0.00860315,0.99139685,,,,,
17,40.7785,16.74923,0.00945719,0.99054281,,,,,,0.00878801,0.99121199,,,,,
18,40.7794,16.74923,0.00965194,0.99034806,,,,,,0.00896648,0.99103352,,,,,
19,40.7804,16.74923,0.00983998,0.99016002,,,,,,0.00913879,0.99086121,,,,,
20,40.7812,16.74923,0.01002152,0.98997848,,,,,,0.00930516,0.99069484,,,,,
21,40.7821,16.74923,0.0101968,0.9898032,,,,,,0.00946578,0.99053422,,,,,
22,40.7829,16.74923,0.01036604,0.98963396,,,,,,0.00962086,0.99037914,,,,,
23,40.7837,16.74923,0.01052944,0.98947056,,,,,,0.0097706,0.9902294,,,,,
24,40.7845,16.74923,0.01068721,0.98931279,,,,,,0.00991517,0.99008483,,,,,
25,40.7852,16.74923,0.01083954,0.98916046,,,,,,0.01005476,0.98994524,,,,,
26,40.7859,16.74923,0.01098662,0.98901338,,,,,,0.01018954,0.98981046,,,,,
27,40.7866,16.74923,0.01112863,0.98887137,,,,,,0.01031967,0.98968033,,,,,
28,40.7873,16.74923,0.01126575,0.98873425,,,,,,0.01044532,0.98955468,,,,,
29,40.7879,16.74923,0.01139815,0.98860185,,,,,,0.01056664,0.98943336,,,,,
30,40.7886,16.74923,0.01152599,0.98847401,,,,,,0.01068378,0.98931622,,,,,
31,40.7892,16.74923,0.01164942,0.98835058,,,,,,0.01079689,0.98920311,,,,,
32,40.7898,16.74923,0.01176861,0.98823139,,,,,,0.0109061,0.9890939,,,,,
33,40.7903,16.74923,0.01188369,0.98811631,,,,,,0.01101156,0.98898844,,,,,
34,40.7909,16.74923,0.01199482,0.98800518,,,,,,0.01111338,0.98888662,,,,,
35,40.7914,16.74923,0.01210211,0.98789789,,,,,,0.0112117,0.9887883,,,,,
36,40.7919,16.74923,0.01220572,0.98779428,,,,,,0.01130663,0.98869337,,,,,
37,40.7924,16.74923,0.01230576,0.98769424,,,,,,0.0113983,0.9886017,,,,,
38,40.7929,16.74923,0.01240236,0.98759764,,,,,,0.01148682,0.98851318,,,,,
39,40.7933,16.74923,0.01249563,0.98750437,,,,,,0.01157228,0.98842772,,,,,
40,40.7937,16.74923,0.0125857,0.9874143,,,,,,0.01165481,0.98834519,,,,,
41,40.7942,16.74923,0.01267267,0.98732733,,,,,,0.0117345,0.9882655,,,,,
42,40.7946,16.74923,0.01275665,0.98724335,,,,,,0.01181145,0.98818855,,,,,
43,40.795,16.74923,0.01283775,0.98716225,,,,,,0.01188576,0.98811424,,,,,
44,40.7954,16.74923,0.01291605,0.98708395,,,,,,0.01195751,0.98804249,,,,,
45,40.7957,16.74923,0.01299166,0.98700834,,,,,,0.01202679,0.98797321,,,,,
