stage,T_C,P_bar,x_C3H8,x_C3H6,x_H2,x_C2H4,x_CH4,x_C2H6,x_C4H10,y_C3H8,y_C3H6,y_H2,y_C2H4,y_CH4,y_C2H6,y_C4H10
1,55.8687,19.52134,0.99999,,,,,,1e-05,0.99999545,,,,,,4.55e-06
2,55.8691,19.52134,0.99998181,,,,,,1.819e-05,0.99999,,,,,,1e-05
3,55.8696,19.52134,0.99996891,,,,,,3.109e-05,0.99998313,,,,,,1.687e-05
4,55.8706,19.52134,0.99994857,,,,,,5.143e-05,0.99997231,,,,,,2.769e-05
5,55.872,19.52134,0.99991651,,,,,,8.349e-05,0.99995525,,,,,,4.475e-05
6,55.8742,19.52134,0.99986599,,,,,,0.00013401,0.99992837,,,,,,7.163e-05
7,55.8778,19.52134,0.99978636,,,,,,0.00021364,0.99988599,,,,,,0.00011401
8,55.8834,19.52134,0.99966088,,,,,,0.00033912,0.99981921,,,,,,0.00018079
9,55.8922,19.52134,0.99946317,,,,,,0.00053683,0.99971398,,,,,,0.00028602
10,55.9061,19.52134,0.99915173,,,,,,0.00084827,0.99954817,,,,,,0.00045183
11,55.9279,19.52134,0.99866132,,,,,,0.00133868,0.999287,,,,,,0.000713
12,55.9623,19.52134,0.99788953,,,,,,0.00211047,0.99887578,,,,,,0.00112422
13,56.0164,19.52134,0.99667604,,,,,,0.00332396,0.99822869,,,,,,0.00177131
14,56.1014,19.52134,0.99477079,,,,,,0.00522921,0.99721144,,,,,,0.00278856
15,56.2346,19.52134,0.99178619,,,,,,0.00821381,0.99561473,,,,,,0.00438527
16,56.4426,19.52134,0.98712731,,,,,,0.01287269,0.99311455,,,,,,0.00688545
17,56.766,19.52134,0.97989526,,,,,,0.02010474,0.98921445,,,,,,0.01078555
18,57.265,19.52134,0.96876585,,,,,,0.03123415,0.98316651,,,,,,0.01683349
19,58.0289,19.52134,0.95186705,,,,,,0.04813295,0.97387407,,,,,,0.02612593
20,59.2017,19.52134,0.92672127,,,,,,0.07327873,0.95979942,,,,,,0.04020058
21,61.1547,19.52134,0.8764931,,,,,,0.1235069,0.93895161,,,,,,0.06104839
22,63.9274,19.52134,0.82213626,,,,,,0.17786374,0.89751111,,,,,,0.10248889
23,67.2282,19.52134,0.75344488,,,,,,0.24655512,0.85290482,,,,,,0.14709518
24,71.1316,19.52134,0.67396896,,,,,,0.32603104,0.79697384,,,,,,0.20302616
25,75.3803,19.52134,0.59071279,,,,,,0.40928721,0.73269766,,,,,,0.26730234
26,79.5751,19.52134,0.51184994,,,,,,0.48815006,0.66569006,,,,,,0.33430994
27,83.2791,19.52134,0.44367446,,,,,,0.55632554,0.60230133,,,,,,0.39769867
28,85.7614,19.52134,0.40837354,,,,,,0.59162646,0.5469741,,,,,,0.4530259
29,92.5295,19.52134,0.29339087,,,,,,0.70660913,0.41691539,,,,,,0.58308461
30,98.3874,19.52134,0.20116418,,,,,,0.79883582,0.2995216,,,,,,0.7004784
31,102.949,19.52134,0.1333643,,,,,,0.8666357,0.20531254,,,,,,0.79468746
32,106.252,19.52134,0.0864174,,,,,,0.9135826,0.13605511,,,,,,0.86394489
33,108.5272,19.52134,0.05515809,,,,,,0.94484191,0.08810956,,,,,,0.91189044
34,110.0421,19.52134,0.03485762,,,,,,0.96514238,0.05619401,,,,,,0.94380599
35,111.0282,19.52134,0.02187979,,,,,,0.97812021,0.03547235,,,,,,0.96452765
36,111.6614,19.52134,0.01366455,,,,,,0.98633545,0.02222773,,,,,,0.97777227
37,112.0708,19.52134,0.00849599,,,,,,0.99150401,0.01384472,,,,,,0.98615528
38,112.3743,19.52134,0.00479304,,,,,,0.99520696,0.00857108,,,,,,0.99142892
